# layer,row,col,filter,float_value,q1.6_int,q1.6_hex
layer_0_filter_0,5,14,0,0.102989,7,0x07
layer_0_filter_0,5,15,0,0.107643,7,0x07
layer_0_filter_0,5,16,0,0.112297,7,0x07
layer_0_filter_0,5,17,0,0.116951,7,0x07
layer_0_filter_0,5,18,0,0.121605,8,0x08
layer_0_filter_0,5,19,0,0.126259,8,0x08
layer_0_filter_0,5,20,0,0.130912,8,0x08
layer_0_filter_0,5,21,0,0.135566,9,0x09
layer_0_filter_0,5,22,0,0.140220,9,0x09
layer_0_filter_0,5,23,0,0.144874,9,0x09
layer_0_filter_0,5,24,0,0.149528,10,0x0A
layer_0_filter_0,5,25,0,0.154182,10,0x0A
layer_0_filter_0,6,0,0,0.042488,3,0x03
layer_0_filter_0,6,1,0,0.047142,3,0x03
layer_0_filter_0,6,2,0,0.051796,3,0x03
layer_0_filter_0,6,3,0,0.056450,4,0x04
layer_0_filter_0,6,4,0,0.061104,4,0x04
layer_0_filter_0,6,5,0,0.065758,4,0x04
layer_0_filter_0,6,6,0,0.070412,5,0x05
layer_0_filter_0,6,7,0,0.075066,5,0x05
layer_0_filter_0,6,8,0,0.079719,5,0x05
layer_0_filter_0,6,9,0,0.084373,5,0x05
layer_0_filter_0,6,10,0,0.089027,6,0x06
layer_0_filter_0,6,11,0,0.093681,6,0x06
layer_0_filter_0,6,12,0,0.098335,6,0x06
layer_0_filter_0,6,13,0,0.102989,7,0x07
layer_0_filter_0,6,14,0,0.107643,7,0x07
layer_0_filter_0,6,15,0,0.112297,7,0x07
layer_0_filter_0,6,16,0,0.116951,7,0x07
layer_0_filter_0,6,17,0,0.121605,8,0x08
layer_0_filter_0,6,18,0,0.126259,8,0x08
layer_0_filter_0,6,19,0,0.130912,8,0x08
layer_0_filter_0,6,20,0,0.135566,9,0x09
layer_0_filter_0,6,21,0,0.140220,9,0x09
layer_0_filter_0,6,22,0,0.144874,9,0x09
layer_0_filter_0,6,23,0,0.149528,10,0x0A
layer_0_filter_0,6,24,0,0.154182,10,0x0A
layer_0_filter_0,6,25,0,0.158836,10,0x0A
layer_0_filter_0,7,0,0,0.047142,3,0x03
layer_0_filter_0,7,1,0,0.051796,3,0x03
layer_0_filter_0,7,2,0,0.056450,4,0x04
layer_0_filter_0,7,3,0,0.061104,4,0x04
layer_0_filter_0,7,4,0,0.065758,4,0x04
layer_0_filter_0,7,5,0,0.070412,5,0x05
layer_0_filter_0,7,6,0,0.075066,5,0x05
layer_0_filter_0,7,7,0,0.079719,5,0x05
layer_0_filter_0,7,8,0,0.084373,5,0x05
